Title,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Musical,Mystery,Romance,Scifi,Short Film,Thriller,Western
"Not with My Wife, You Don't!",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Of Mice and Men,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Becoming dick,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Darby and Joan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Strike Up the Band,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Peege,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
The Night the Animals Talked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
In Love and War,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Forth Road Bridge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Tramp,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
Tangled Evidence,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
At the End of the Rainbow,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Hitman City,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Take This Woman,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Maryland,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Love at First Bite,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Expedition: Bismarck,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Marked Men,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
Hurricane at Pilgrim Hill,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
The Firm,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mickey,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Master of the World,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
L.A. Story,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
The Man with Nine Lives,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
The Accidental Tourist,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Phantom Ship,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
A Little Bit of Bluff,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek: The Pepsi Generation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Polish Wedding,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Bandwagon,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Oogieloves in the Big Balloon Adventure,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Great Rupert,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Straightheads,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Seven Men from Now,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Day the World Ended,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Faceless,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Phineas and Ferb The Movie: Across the 2nd Dimension,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Silent Night, Deadly Night 5: The Toy Maker",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
You've Got to Walk It Like You Talk It or You'll Lose That Beat,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Stonewall Uprising,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Young Americans,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Subconscious Cruelty,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Flame of the Yukon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Once Upon a Brothers Grimm,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Most Valuable Players,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Saturday's Children,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Almost Normal,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Devil's Brother,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Little Man, What Now?",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Colin Fitz Lives!,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lady Escapes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Train of Events,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Member of the Jury,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Escape to Paradise,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
The Vanishing Legion,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
John Tucker Must Die,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Trip to Jewish Cuba,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Dead Air,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Divine Madness!,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Nazty Nuisance,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Luna de Miel,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Rainbow Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ask the Dust,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
I Like Your Nerve,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"SICK: The Life & Death of Bob Flanagan, Supermasochist",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pumpkinhead: Ashes to Ashes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Carlito's Way: Rise to Power,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
The Scamp,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Tomcats,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Texas Killing Fields,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
An Unreasonable Man,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Carol Christmas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lion and the Mouse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Menu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Faces in the Dark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Final Curtain,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Demolition University,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Chasing Rainbows,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Jeanne Eagels,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Education Of Charlie Banks,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
John Betjeman Goes By Train,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Urge to Build,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Gamers,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
The River Sorrow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Murder on a Honeymoon,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Seven Waves Away,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
There Was a Crooked Man,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Raise The Titanic,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Good Morning and... Goodbye!,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Dylan Thomas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Possessed,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
The 19th Wife,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Doctors' Wives,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dragon Eye Congee,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Innocents,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Best Laid Plans,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
White Man's Burden,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Flywheel,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Uncle Silas,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
Miss Evers' Boys,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Waking Up in Reno,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Barbecue Brawl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
We've Never Been Licked,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Lady Takes a Sailor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Milk Money,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Weirdsville,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
They Still Call Me Bruce,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Life,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Foolin' Around,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Heist,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Kiss Them for Me,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Kill Your Darlings,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Zathura,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
The Farmer's Daughter,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Bank,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Combat Academy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gamers: The Movie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloodlines,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Any Rags?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mrs. Parker and the Vicious Circle,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Thrashin',1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Man Who Shot Liberty Valance,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Trash Humpers,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ever After,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0
Secretary,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Spun,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Goodbye Casanova,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Kid from Brooklyn,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Gift,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
Men at Work,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The Ringer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hell in the Pacific,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Staunton Hill,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vigil,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Guest in the House,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Yellowneck,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amen.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Norbit,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Wrestling Ernest Hemingway,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
In Search of the Castaways,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Raw Nerve,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
The Betsy,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
Person To Bunny,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Desperate Justice,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Flesh Gordon,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Give My Regards to Broad Street,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The First Offence,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Snow White and the Seven Dwarfs,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
Gone Fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Two Faces of Dr. Jekyll,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Time Gentlemen, Please!",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheerluck Holmes and the Golden Ruler,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
The Memory Thief,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Give a Girl a Break,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Women Without Names,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
Room at the Top,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gun Grit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Return to the Lost World,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
My Brother's Keeper,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Knutzy Knights,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Bad Company,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
The Three Stooges Go Around the World in a Daze,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cock-Eyed World,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
The Martins,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fly My Kite,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
The Postcard Bandit,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
A Crude Awakening: The Oil Crash,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dan in Real Life,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Rings on Her Fingers,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Red River Valley,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Canterville Ghost,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Song of Russia,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Manderlay,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
A Man Called Gannon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Death and the Compass,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
My Super Ex-Girlfriend,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
Saga of Death Valley,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Miami Vice,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
The Family That Dwelt Apart,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The Order of Myths,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Angels Fall,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
Al's Lads,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Educating Peter,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Backyard,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Hot Rod,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dead Calm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Business of Fancydancing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Halloween H20: 20 Years Later,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Hong Kong 97,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Bear Country,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Robinson Crusoe on Mars,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Silverado,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Horsey,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
638 Ways to Kill Castro,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My Date with the President's Daughter,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Serving Sara,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Freddie as F.R.O.7,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Incident at Loch Ness,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarzan and the Amazons,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Red Ensign,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Big Knife,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Coupe de Ville,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Back Stage,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Foreign Intrigue,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
Find Me Guilty,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
The Breakfast Club,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Lloyd the Conqueror,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Expect No Mercy,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
The Man From Elysian Fields,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Persuasion,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
Doctor Detroit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Super DuckTales,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
So This Is Africa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lovespell,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Echo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
The Flintstones: On the Rocks,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tequila Sunrise,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
Flight to Fury,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Babes in Toyland,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
Inferno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Fast and the Furious,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
G,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Nun and the Sergeant,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Iguana,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Highway Dragnet,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Universal Soldier II: Brothers in Arms,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strange Brew,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
God's Outlaw,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
King Solomon's Mines,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Confess,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
The Survivor,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
A Life in the Death of Joe Meek,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Agueda Martinez: Our People, Our Country",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
A Chance of Snow,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tales of Ordinary Madness,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Monster-in-Law,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The History Boys,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Trekkies 2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Grosse Pointe Blank,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
The Gay Marriage Thing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tom Petty and the Heartbreakers: Runnin' Down a Dream,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
All's Fair at the Fair,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Haunted,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Knock on Any Door,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Who's Got the Action?,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
J.D.'s Revenge,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
Harry and Walter Go to New York,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Defeated People,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Wizard of Oz,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Spaghetti a la Mode,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Look Who's Talking Now,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Harlem Globetrotters on Gilligan's Island,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
To sell a war,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pitfall,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Teddy, the Rough Rider",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
The Cabinet of Caligari,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Conceit,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Side Streets,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Island of Lost Women,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mission: Impossible – Ghost Protocol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Insignificance,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
America Screams,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Legend of Hallowdega,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Shalom y'all,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lars and the Real Girl,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Flips and Flops,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Mute Witness,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
The Matchmaker,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Modern Man,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
When Tomorrow Comes,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Crop,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Place in the Land,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Confessor,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
The Climbers,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Luggage of the Gods!,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Message in a Bottle,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Red Jacket,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ten Seconds to Hell,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Touch the Sound,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ground Zero,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Appointment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tribes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Collection,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Narc,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
The Hot Rock,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Stewardesses,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Lord Don't Slow Me Down,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Back from Eternity,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Spirit of America,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Dishonored Lady,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Ride a Crooked Trail,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A Cold Night's Death,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Ben 10: Alien Swarm,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
One Water,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
War of the Buttons,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Mike Bassett: England Manager,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Flight of the Navigator,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Officer 666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Face of a Genius,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Collaborator,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bunny Lake Is Missing,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
High Life,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Over the Top,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Afro-Punk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3 Needles,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Up with the Lark,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ninja Bachelor Party,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Joyride,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Snow Capers,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Shattered Glass,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wilson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fun in Acapulco,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Graveyard Shift,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Play'd: A Hip-Hop Story,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wake Me When The War Is Over,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
House of Frankenstein 1997,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Ugly Nights,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Buck Benny Rides Again,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Kim Possible: A Sitch in Time,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Zeitgeist: Addendum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Weak and the Wicked,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
