Title,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Musical,Mystery,Romance,Scifi,Short Film,Thriller,Western,fold
Take Me Up to the Ball Game,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
God's Gift to Women,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
The Gunfighters,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Valley of Hunted Men,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Kidulthood,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Beer for My Horses,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Gayniggers From Outer Space,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2
Africa Squeaks,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grizzly Rage,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
Lady in the Water,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2
Permanent Residence,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Women's Prison,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Celluloid Closet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
So Much for So Little,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Elsewhere,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Savage Beach,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RSTC: Reserve Spy Training Corps,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Four Christmases,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Love Before Breakfast,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Road House,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
Absolute Beginners,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
Battling with Buffalo Bill,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Day Zero,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
White Cargo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Another Country,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Living Goddess,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Soldier Boyz,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
Niflheim: Blood & Bullets,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Superman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Animals United,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Fallen,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2
Poor White Trash,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
Three Wise Guys,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
The Entity,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,3
Gangs of the Dead,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Ties to Rachel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Xanadu,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,3
Putting It Together,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Death of Poor Joe,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Experiments in the Revival of Organisms,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
Boy Slaves,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
The Opposite Sex,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,3
Fitzwilly,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,3
I Don't Hate Las Vegas Anymore,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Secret of Giving,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
Ice Age: Dawn of the Dinosaurs,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Zigzag,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"Oh, What a Night",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The Pinch Singer,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Waging a Living,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Shooters,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Dynamite Chicken,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Utz,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Repo Chick,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Shorts,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Head Over Heels,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
The Palm Beach Story,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Soulkeeper,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,3
Krocodylus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Project Shadowchaser III,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Universe,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
The Desert Song,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Romeo & Juliet: Sealed with a Kiss,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Go Fly a Kit,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Skeleton Man,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
Fire with Fire,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Despair,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2
Runaway Slave,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Seeing Other People,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Runaway,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
Shadowlands,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,3
Crossfire Trail,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Excision,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
What If God Were the Sun?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
The Goldwyn Follies,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Othello,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Invasion U.S.A.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
Down from the Mountain,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Dark Streets,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
Follow Me!,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2
The Long Dark Hall,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Beautiful Creatures,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Last Action Hero,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Disorder in the Court,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Death Wish II,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
Red Heat,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
Menno's Mind,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Red's Dream,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
The King,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Trucker,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
New York Doll,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Second Chances,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
Boogeyman,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2
Trouble Man,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Cast a Long Shadow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
What a Girl Wants,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2
Adventures of a Private Eye,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sing,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Taking of Beverly Hills,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
West Bank Story,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2
Flow: For Love of Water,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Elmo Saves Christmas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Soldiers Three,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
The Mean Season,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
Bad Boy,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Rock 'n' Roll Nightmare,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Happy Ever After,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
The Secret Code,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinknic,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Le Pig-Al Patrol,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Let's Make It Legal,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2
Submarine Seahawk,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mickey's Big Broadcast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rockets Galore!,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
The Postman Always Rings Twice,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,2
40 Days and 40 Nights,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Fat Pizza: The Movie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True Identity,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
The Card,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
The Unknown Terror,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Jumping the Broom,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Roustabout,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Daffy Duck's Quackbusters,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
Two Against the World,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
A Constant Forge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
American Venus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Blind Side,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2
Pinto Pink,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Confessions of an Action Star,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
The Land Before Time V: The Mysterious Island,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Legend of Frosty the Snowman,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Memoirs of an Invisible Man,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Broken Journey,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Apt Pupil,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,3
Gus,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2
Companionate Marriage,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The Audition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
The Candidate,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Knute Rockne, All American",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Lawnmower Man 2: Beyond Cyberspace,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3
The Body Said No!,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
The Fox and the Hound,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Fetishes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
The Amityville Horror,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,3
Billy Two Hats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
High Sierra,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
Flu Time Bomb,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Bar Hopping,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Permanent Vacation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Mackintosh and T.J.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Black Ice,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
Moving August,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Feast of July,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1
La Mission,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Heart of Stone,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tweety's High Flying Adventure,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Soul Food,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tormented,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Melodies Old and New,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Battle Circus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
247°F,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
Billy the Kid in Texas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Escape from New York,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2
Because They're Young,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Pâté,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
Running on Empty,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Over 21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Step Into Liquid,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Innocent,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
The Curse of Frankenstein,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
The Wicked Dreams of Paula Schultz,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Blacktop,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
Band of Angels,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
The Great Gabbo,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2
Secrets & Lies,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Little House on the Prairie,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
A Cry in the Dark,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Down the Drain,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
The Hellfire Club,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Living Downstream,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Terror from Under the House,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
Jungle Jim in the Forbidden Land,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
The Ghost Ship,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
The Public Menace,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
The Baby Formula,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Death Walks the Streets,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Ninja III: The Domination,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daughter of the Dragon,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
Rembrandt,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Shrunken Heads,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Law and Order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Curtin,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
JFK,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3
The Fury,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
Autumn in New York,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
Daniel Dafoe's Robinson Crusoe,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3
Great White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Finding Nemo,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I Lived with You,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Desk Set,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Particles of Truth,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
Highlander: The Source,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
Guns a Poppin!,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Too Young to Love,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Homicide: Division B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Another Gay Movie,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Iron Eagle IV,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Don't Go in the House,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
The Deaths of Ian Stone,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Miracle at Midnight,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
Darkest Africa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry's Crime,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
The Call,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Old Mother Riley in Paris,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Prisoner 345,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Intermezzo,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
Sleeping Dogs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
The Scapegoat,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
The Stranger,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rawhead Rex,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
E-Dreams,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Alice's Restaurant,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
King of the Wind,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remember My Name,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
What Becomes of the Broken Hearted?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Herman U. S. A.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
London Belongs to Me,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Safety Worst,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
The Split,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Stella Dallas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Love and Curses,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3
Wholly Communion,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Sinners & Saints,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
Love Is a Racket,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Love at Stake,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Fortune,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
The Girl on a Motorcycle,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
New World Disorder IV,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
Tribute,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
Final Voyage,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
A Modern Hero,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Easy Come, Easy Go",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Castle in the Desert,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,3
It's Great To Be Young,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Visions of Light,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Coca-Cola Kid,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3
Made,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Diane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Star Spangled Girl,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A Gentleman of Paris,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Guard Dog,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Full Eclipse,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Even in My Dreams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
The Hungry Bachelors Club,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2
The Boogie Man Will Get You,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
In Search of Happiness,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Scenes From Oblivion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Three Musketeers,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Wolf Lake,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
Comin' Round The Mountain,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
The Jackal,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Project; Metalbeast,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Every Day,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
The Champeen,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3
The Berlin Affair,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
A Hill in Korea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
A Visit to the Seaside,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3
Summer of '42,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,3
3 Ring Circus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sublime,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Death of a Gunfighter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Stomp! Shout! Scream!,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Blue Like Jazz: The Movie,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Desperate Hours,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2
Nicole,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Dr. Strange,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3
Perpetual Wake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Scream Bloody Murder,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
The Enchanted Forest,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Grabbers,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
La Soga,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
The Government Inspector,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Roxanne,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
The Gumball Rally,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recoil,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Escape from Cluster Prime,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rainbow Drive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Creature Walks Among Us,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3
Flash Gordon,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
Mules and Mortgages,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
The Passenger,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Indie Game: The Movie,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Dog Tales,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
In the Line of Fire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Arrest Bulldog Drummond,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
Glitter,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3
Kill the Man,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Dark City,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3
Sensation Hunters,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Scotland, Pa.",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
One Romantic Night,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
The Californians,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Caddyshack,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gunman in the Streets,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
One A.M.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Gotham,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
A Rage in Harlem,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Last of the Wild Horses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
The Man from Snowy River,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
Corrado,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Fire in the Sky,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
